BestPriceMatch,Time,Id,FirstId,LastId,BuyerMaker,Price,Quantity
True,2020-07-18 02:55:48.128,163458978,182262035,182262035,False,0.02549000,0.08700000
True,2020-07-18 02:55:49.680,163458979,182262036,182262036,True,0.02548700,5.16000000
True,2020-07-18 02:55:51.181,163458980,182262037,182262037,True,0.02548700,5.08800000
True,2020-07-18 02:56:05.686,163458981,182262038,182262038,True,0.02548600,0.19600000
True,2020-07-18 02:56:07.815,163458982,182262039,182262039,True,0.02548700,0.56200000
True,2020-07-18 02:56:08.544,163458983,182262040,182262040,True,0.02548800,0.04700000
True,2020-07-18 02:56:09.061,163458984,182262041,182262041,True,0.02548800,0.14200000
True,2020-07-18 02:56:09.061,163458985,182262042,182262042,True,0.02548700,0.19500000
True,2020-07-18 02:56:10.173,163458986,182262043,182262044,True,0.02548600,2.09800000
True,2020-07-18 02:56:11.014,163458987,182262045,182262045,False,0.02548900,3.93200000
True,2020-07-18 02:56:11.095,163458988,182262046,182262048,False,0.02549000,3.34000000
True,2020-07-18 02:56:12.598,163458989,182262049,182262049,True,0.02549000,0.00400000
True,2020-07-18 02:56:14.556,163458990,182262050,182262050,True,0.02549000,0.27700000
True,2020-07-18 02:56:14.556,163458991,182262051,182262051,True,0.02548800,0.19000000
True,2020-07-18 02:56:14.556,163458992,182262052,182262053,True,0.02548700,1.78900000
True,2020-07-18 02:56:14.556,163458993,182262054,182262054,True,0.02548500,5.39400000
True,2020-07-18 02:56:17.264,163458994,182262055,182262055,True,0.02548600,0.76100000
True,2020-07-18 02:56:18.156,163458995,182262056,182262056,True,0.02548600,2.29100000
True,2020-07-18 02:56:22.932,163458996,182262057,182262057,True,0.02548700,0.21100000
True,2020-07-18 02:56:37.268,163458997,182262058,182262058,False,0.02548900,0.05500000
True,2020-07-18 02:56:41.509,163458998,182262059,182262059,True,0.02548500,2.00000000
True,2020-07-18 02:56:41.620,163458999,182262060,182262060,True,0.02548500,4.37700000
True,2020-07-18 02:56:41.716,163459000,182262061,182262061,True,0.02548400,2.00000000
True,2020-07-18 02:56:41.838,163459001,182262062,182262062,True,0.02548400,0.41400000
True,2020-07-18 02:56:48.190,163459002,182262063,182262063,True,0.02548500,0.19800000
True,2020-07-18 02:56:48.190,163459003,182262064,182262064,True,0.02548400,1.55700000
True,2020-07-18 02:56:55.935,163459004,182262065,182262065,False,0.02548600,3.00000000
True,2020-07-18 02:56:57.633,163459005,182262066,182262066,True,0.02548400,0.00800000
True,2020-07-18 02:56:58.416,163459006,182262067,182262067,True,0.02548400,0.02900000
True,2020-07-18 02:56:59.181,163459007,182262068,182262068,False,0.02548500,0.20000000
True,2020-07-18 02:57:00.475,163459008,182262069,182262069,True,0.02548400,0.01100000
True,2020-07-18 02:57:01.605,163459009,182262070,182262070,True,0.02548400,0.01100000
True,2020-07-18 02:57:03.898,163459010,182262071,182262071,True,0.02548400,26.66600000
True,2020-07-18 02:57:04.648,163459011,182262072,182262072,False,0.02548500,0.06800000
True,2020-07-18 02:57:09.149,163459012,182262073,182262073,False,0.02548500,0.05300000
True,2020-07-18 02:57:09.257,163459013,182262074,182262074,False,0.02548600,0.36000000
True,2020-07-18 02:57:10.680,163459014,182262075,182262075,True,0.02548400,0.39700000
True,2020-07-18 02:57:14.442,163459015,182262076,182262076,False,0.02548600,2.94700000
True,2020-07-18 02:57:15.023,163459016,182262077,182262077,True,0.02548400,0.56600000
True,2020-07-18 02:57:16.952,163459017,182262078,182262078,False,0.02548600,0.08700000
True,2020-07-18 02:57:17.065,163459018,182262079,182262079,False,0.02548600,0.21500000
True,2020-07-18 02:57:17.167,163459019,182262080,182262080,False,0.02548600,3.38900000
True,2020-07-18 02:57:18.210,163459020,182262081,182262081,True,0.02548400,0.43700000
True,2020-07-18 02:57:18.549,163459021,182262082,182262082,False,0.02548600,0.41500000
True,2020-07-18 02:57:19.167,163459022,182262083,182262083,False,0.02548500,0.42300000
True,2020-07-18 02:57:20.428,163459023,182262084,182262084,False,0.02548500,0.33300000
True,2020-07-18 02:57:24.688,163459024,182262085,182262085,False,0.02548600,0.02000000
True,2020-07-18 02:57:25.176,163459025,182262086,182262086,False,0.02548600,0.74300000
True,2020-07-18 02:57:25.262,163459026,182262087,182262087,True,0.02548500,0.16300000
True,2020-07-18 02:57:25.262,163459027,182262088,182262088,True,0.02548400,4.30200000
True,2020-07-18 02:57:25.344,163459028,182262089,182262089,True,0.02548400,0.44000000
True,2020-07-18 02:57:25.430,163459029,182262090,182262090,True,0.02548400,0.44000000
True,2020-07-18 02:57:25.535,163459030,182262091,182262091,True,0.02548400,0.03700000
True,2020-07-18 02:57:25.549,163459031,182262092,182262092,True,0.02548400,6.30700000
True,2020-07-18 02:57:25.632,163459032,182262093,182262093,False,0.02548600,4.18700000
True,2020-07-18 02:57:25.984,163459033,182262094,182262094,False,0.02548500,0.26800000
True,2020-07-18 02:57:25.984,163459034,182262095,182262095,False,0.02548600,0.73200000
True,2020-07-18 02:57:29.253,163459035,182262096,182262096,False,0.02548600,0.21400000
True,2020-07-18 02:57:30.905,163459036,182262097,182262097,True,0.02548400,6.30700000
True,2020-07-18 02:57:35.614,163459037,182262098,182262098,True,0.02548500,10.00000000
True,2020-07-18 02:57:37.302,163459038,182262099,182262099,False,0.02548600,0.41100000
True,2020-07-18 02:57:38.157,163459039,182262100,182262100,False,0.02548600,0.39200000
True,2020-07-18 02:57:50.148,163459040,182262101,182262101,True,0.02548400,0.00800000
True,2020-07-18 02:57:51.765,163459041,182262102,182262102,True,0.02548400,0.39900000
True,2020-07-18 02:57:52.691,163459042,182262103,182262103,True,0.02548400,2.15500000
True,2020-07-18 02:57:54.108,163459043,182262104,182262104,False,0.02548600,16.10200000
True,2020-07-18 02:58:05.292,163459044,182262105,182262106,False,0.02548500,0.05300000
True,2020-07-18 02:58:05.484,163459045,182262107,182262109,False,0.02548600,19.13800000
True,2020-07-18 02:58:05.593,163459046,182262110,182262111,False,0.02548600,18.49100000
True,2020-07-18 02:58:05.689,163459047,182262112,182262112,False,0.02548600,21.13300000
True,2020-07-18 02:58:06.639,163459048,182262113,182262113,False,0.02548500,0.06000000
True,2020-07-18 02:58:06.741,163459049,182262114,182262114,False,0.02548600,0.10400000
True,2020-07-18 02:58:07.166,163459050,182262115,182262115,False,0.02548600,2.57800000
True,2020-07-18 02:58:14.222,163459051,182262116,182262116,True,0.02548400,5.00000000
True,2020-07-18 02:58:14.434,163459052,182262117,182262117,True,0.02548400,17.78300000
True,2020-07-18 02:58:14.997,163459053,182262118,182262118,True,0.02548200,0.00400000
True,2020-07-18 02:58:17.954,163459054,182262119,182262119,False,0.02548400,0.18500000
True,2020-07-18 02:58:18.285,163459055,182262120,182262120,False,0.02548400,0.08000000
True,2020-07-18 02:58:19.984,163459056,182262121,182262121,True,0.02548200,0.43100000
True,2020-07-18 02:58:22.321,163459057,182262122,182262122,False,0.02548400,0.63500000
True,2020-07-18 02:58:22.397,163459058,182262123,182262123,False,0.02548400,0.63400000
True,2020-07-18 02:58:22.429,163459059,182262124,182262124,False,0.02548400,0.06700000
True,2020-07-18 02:58:22.542,163459060,182262125,182262125,False,0.02548400,0.09900000
True,2020-07-18 02:58:24.691,163459061,182262126,182262126,True,0.02548200,0.52700000
True,2020-07-18 02:58:25.911,163459062,182262127,182262127,True,0.02548200,2.00000000
True,2020-07-18 02:58:26.008,163459063,182262128,182262128,True,0.02548200,8.81100000
True,2020-07-18 02:58:30.576,163459064,182262129,182262129,True,0.02548100,0.05700000
True,2020-07-18 02:58:35.369,163459065,182262130,182262130,True,0.02548100,1.47200000
True,2020-07-18 02:58:35.392,163459066,182262131,182262131,True,0.02548100,1.98700000
True,2020-07-18 02:58:37.238,163459067,182262132,182262132,True,0.02548100,0.10200000
True,2020-07-18 02:58:37.335,163459068,182262133,182262133,True,0.02548100,1.28500000
True,2020-07-18 02:58:47.062,163459069,182262134,182262134,False,0.02548200,0.05100000
True,2020-07-18 02:58:48.307,163459070,182262135,182262135,False,0.02548200,0.08700000
True,2020-07-18 02:58:48.771,163459071,182262136,182262136,True,0.02548100,0.00700000
True,2020-07-18 02:58:53.522,163459072,182262137,182262139,False,0.02548300,0.48100000
True,2020-07-18 02:59:01.742,163459073,182262140,182262140,False,0.02548400,0.00500000
True,2020-07-18 02:59:02.666,163459074,182262141,182262141,True,0.02548200,0.61800000
True,2020-07-18 02:59:03.026,163459075,182262142,182262142,False,0.02548400,0.46900000
True,2020-07-18 02:59:05.012,163459076,182262143,182262143,True,0.02548200,0.24900000
True,2020-07-18 02:59:14.927,163459077,182262144,182262144,False,0.02548400,0.00500000
True,2020-07-18 02:59:20.009,163459078,182262145,182262145,False,0.02548200,0.45400000
True,2020-07-18 02:59:34.243,163459079,182262146,182262146,False,0.02548200,0.00600000
True,2020-07-18 02:59:37.461,163459080,182262147,182262147,False,0.02548200,0.18500000
True,2020-07-18 02:59:53.042,163459081,182262148,182262148,True,0.02548100,0.03700000
True,2020-07-18 02:59:55.050,163459082,182262149,182262149,True,0.02548100,0.18300000
True,2020-07-18 02:59:55.050,163459083,182262150,182262150,True,0.02548000,2.05600000
True,2020-07-18 02:59:59.185,163459084,182262151,182262151,False,0.02548400,0.89000000
True,2020-07-18 03:00:03.488,163459085,182262152,182262152,False,0.02548500,2.78000000
True,2020-07-18 03:00:05.787,163459086,182262153,182262154,False,0.02548500,0.09900000
True,2020-07-18 03:00:09.311,163459087,182262155,182262155,False,0.02548600,0.21400000
True,2020-07-18 03:00:11.498,163459088,182262156,182262156,False,0.02548600,0.00900000
