OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteVolume,NumberTrades,BaseVolumne,QuoteVolumne,Ignored
2020-07-17 08:48:00,0.00190490,0.00190550,0.00190390,0.00190390,87.74000000,2020-07-17 08:48:59.999,0.16715068,23,37.98000000,0.07236570,0
2020-07-17 08:49:00,0.00190540,0.00190590,0.00190480,0.00190580,78.54000000,2020-07-17 08:49:59.999,0.14965088,38,63.84000000,0.12164441,0
2020-07-17 08:50:00,0.00190580,0.00190820,0.00190580,0.00190750,248.90000000,2020-07-17 08:50:59.999,0.47464811,26,240.51000000,0.45865056,0
2020-07-17 08:51:00,0.00190740,0.00190840,0.00190720,0.00190800,236.00000000,2020-07-17 08:51:59.999,0.45031085,25,35.84000000,0.06839251,0
2020-07-17 08:52:00,0.00190800,0.00190800,0.00190680,0.00190800,502.71000000,2020-07-17 08:52:59.999,0.95899066,52,328.06000000,0.62590645,0
2020-07-17 08:53:00,0.00190800,0.00190800,0.00190650,0.00190710,250.17000000,2020-07-17 08:53:59.999,0.47707643,25,174.70000000,0.33317070,0
2020-07-17 08:54:00,0.00190800,0.00190820,0.00190790,0.00190820,51.70000000,2020-07-17 08:54:59.999,0.09864366,18,51.11000000,0.09751798,0
2020-07-17 08:55:00,0.00190820,0.00190940,0.00190810,0.00190840,76.03000000,2020-07-17 08:55:59.999,0.14511606,34,32.06000000,0.06118940,0
2020-07-17 08:56:00,0.00190790,0.00190820,0.00190670,0.00190770,569.56000000,2020-07-17 08:56:59.999,1.08665966,23,50.84000000,0.09699591,0
2020-07-17 08:57:00,0.00190740,0.00190750,0.00190610,0.00190710,37.77000000,2020-07-17 08:57:59.999,0.07202176,26,16.44000000,0.03135436,0
2020-07-17 08:58:00,0.00190720,0.00190780,0.00190710,0.00190730,64.52000000,2020-07-17 08:58:59.999,0.12305343,26,47.02000000,0.08967871,0
2020-07-17 08:59:00,0.00190740,0.00190780,0.00190450,0.00190480,93.59000000,2020-07-17 08:59:59.999,0.17845260,43,50.90000000,0.09704029,0
2020-07-17 09:00:00,0.00190480,0.00190880,0.00190480,0.00190780,397.18000000,2020-07-17 09:00:59.999,0.75771799,54,357.03000000,0.68111996,0
2020-07-17 09:01:00,0.00190760,0.00190900,0.00190630,0.00190880,691.58000000,2020-07-17 09:01:59.999,1.31982924,57,398.49000000,0.76040999,0
